,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
SREBF1,7,"(5, 10]",0.0019324155600968548,SREBF1,283.07588809946714,22520.0,264.0,126.71691406128978,137.0,1473.0,185.0,343.0
IRF1,7,"(5, 10]",0.012550936254693048,IRF1,393.12984238511206,105320.0,323.0,256.5326859403925,104.0,1499.0,204.0,491.0
MYOD1,7,"(5, 10]",0.0183879972730234,MYOD1,287.41097707739107,211058.0,244.0,152.72480737857,109.0,1497.0,191.0,335.0
ESRRA,7,"(5, 10]",0.01378312429838877,ESRRA,428.2044243120562,106186.0,397.0,161.69401148732658,117.0,1499.0,314.0,507.0
HDAC1,7,"(5, 10]",0.019327587035267872,HDAC1,339.9446043932608,187560.0,296.0,179.09021017041223,72.0,1495.0,218.0,424.0
BCL6,7,"(5, 10]",0.014425445451598098,BCL6,304.6780628969473,156192.0,262.0,159.17702020713924,85.0,1499.0,189.0,373.0
CHD2,7,"(5, 10]",0.008242618623642475,CHD2,247.40395603595735,109908.0,203.0,143.45983760385167,111.0,1488.0,148.0,298.0
MAFK,7,"(5, 10]",0.005791563291449749,MAFK,199.44108896938317,95797.0,177.0,82.77394858669992,113.0,1095.0,143.0,231.0
BHLHE40,7,"(5, 10]",0.012063348234833913,BHLHE40,273.78812270816564,145353.0,236.0,142.15885462623018,108.0,1494.0,175.0,328.0
NR2C2,7,"(5, 10]",0.005015417716217984,NR2C2,383.30642881964553,43165.0,330.0,200.3170294431114,99.0,1494.0,238.0,479.0
PAX5,7,"(5, 10]",0.015648857571760273,PAX5,245.12103111482526,210607.0,202.0,128.57875618820754,107.0,1495.0,165.0,286.0
GATA1,7,"(5, 10]",0.010991852864976429,GATA1,187.37001038614767,193527.0,169.0,111.43683067829076,51.0,1496.0,111.0,237.0
SMC1A,7,"(5, 10]",0.015410628426748285,SMC1A,277.2943159318632,183337.0,246.0,128.96163049670926,98.0,1477.0,185.0,336.0
ATF2,6,"(5, 10]",0.01446359348271709,ATF2,290.92380905925893,164009.0,275.0,120.81690430814675,133.0,1487.0,213.0,338.0
NANOG,6,"(5, 10]",0.01471453833497184,NANOG,281.30160753816017,172562.0,256.0,139.31424930959625,93.0,1496.0,186.0,344.0
SMAD4,6,"(5, 10]",0.006911519183138505,SMAD4,227.3637741568776,100282.0,205.0,92.51512012555831,81.0,1480.0,161.0,267.0
SMAD2-3,6,"(5, 10]",0.027888075302081212,SMAD2-3,333.4468063514155,275907.0,276.0,231.14507244435183,113.0,1499.0,149.0,431.0
TERF2,6,"(5, 10]",0.0013713545299104733,TERF2,191.6290240596408,23608.0,167.0,76.04680404751683,134.0,1479.0,134.0,218.0
ZBTB7A,6,"(5, 10]",0.01687072069640394,ZBTB7A,291.0873287760791,191197.0,246.0,166.9688830733671,91.0,1496.0,182.0,355.0
GTF2F1,6,"(5, 10]",0.007816370220055898,GTF2F1,299.13593967517403,86200.0,252.0,162.67935144885777,113.0,1499.0,183.0,362.0
ASCL1,6,"(5, 10]",0.0038393105854180845,ASCL1,173.0951879843107,73171.0,158.0,62.7042558240825,107.0,1332.0,128.0,198.0
CLOCK,6,"(5, 10]",0.005805297516293721,CLOCK,233.24928750639418,82106.0,177.0,141.38901361398868,146.0,1498.0,151.0,262.0
IRF3,6,"(5, 10]",0.0003999976280665101,IRF3,255.62901975978303,5162.0,236.0,88.4329227152712,131.0,889.0,200.0,291.0
ARID2,6,"(5, 10]",0.01857890960659381,ARID2,416.8521536274663,147031.0,345.0,218.943304732162,152.0,1499.0,260.0,511.0
IKZF1,6,"(5, 10]",0.01974571427663597,IKZF1,440.2737036336109,147952.0,373.0,227.558308889155,160.0,1499.0,277.0,533.0
MEF2B,6,"(5, 10]",0.008880929970057504,MEF2B,413.9455041256923,70776.0,364.0,190.2095928061206,158.0,1499.0,280.0,487.0
HCFC1,6,"(5, 10]",0.004487432742000748,HCFC1,260.88018327605954,56745.0,200.0,168.06335862748242,112.0,1487.0,142.0,316.0
PRDM1,6,"(5, 10]",0.006769461440709358,PRDM1,200.4421207579008,111413.0,171.0,79.15073794519901,115.0,1494.0,155.0,216.0
SUPT5H,6,"(5, 10]",0.02168236941624787,SUPT5H,326.6651291302263,218965.0,267.0,196.47336374442065,98.0,1499.0,191.0,409.0
BRD9,6,"(5, 10]",0.014348958114179643,BRD9,360.171891406571,131426.0,317.0,163.41259664382542,156.0,1499.0,245.0,428.0
HOXB13,6,"(5, 10]",0.019936142814345803,HOXB13,219.44398583921975,299701.0,210.0,115.34520258252743,57.0,1498.0,155.0,271.0
STAG2,6,"(5, 10]",0.009060540698947555,STAG2,275.25234135425586,108591.0,247.0,138.6708404210354,91.0,1495.0,179.0,331.0
TARDBP,5,"(4, 5]",0.015561083483043144,TARDBP,379.41349593495937,135300.0,307.0,228.6474733458229,99.0,1499.0,227.0,461.0
CBFB,5,"(4, 5]",0.011606005337646979,CBFB,312.8907621398101,122366.0,260.0,165.345175759072,130.0,1497.0,205.0,374.0
RAD51,5,"(4, 5]",0.0050952716180647315,RAD51,354.40779708189257,47428.0,323.0,131.00291507813583,189.0,1498.0,261.0,405.0
DPF2,5,"(4, 5]",0.019598777046758394,DPF2,404.6630991275176,159774.0,345.0,210.32950698163893,160.0,1499.0,253.0,491.0
SNAI2,5,"(4, 5]",0.017339441890221564,SNAI2,300.31970724741166,190468.0,241.0,179.28085331136157,157.0,1499.0,190.0,331.0
NBN,5,"(4, 5]",0.01182030295659333,NBN,480.9222762142029,81082.0,400.0,255.60069946825678,178.0,1499.0,286.0,598.0
BATF,5,"(4, 5]",0.0013662652763370327,BATF,183.03305583756344,24625.0,169.0,84.5543988028406,85.0,1466.0,116.0,229.0
NELFE,5,"(4, 5]",0.014892746783378792,NELFE,275.14791832345793,178558.0,215.0,163.08429120023706,118.0,1497.0,161.0,323.0
PML,5,"(4, 5]",0.0061402524890946915,PML,287.26834768056955,70513.0,235.0,167.03511329059646,116.0,1499.0,174.0,342.0
SMAD1,5,"(4, 5]",0.009360889111205414,SMAD1,278.47841574158406,110891.0,216.0,193.6868734158486,96.0,1499.0,161.0,326.0
MEIS1,5,"(4, 5]",0.0033212231166166806,MEIS1,244.81985565213506,44753.0,224.0,96.30114612691875,124.0,1226.0,182.0,291.0
NFKB1,5,"(4, 5]",0.012363490215399382,NFKB1,243.0635697258641,167800.0,212.0,126.22961679040462,98.0,1492.0,158.0,287.0
MYBL2,5,"(4, 5]",0.01492002426101651,MYBL2,378.4337316049269,130062.0,290.0,251.74103955822676,125.0,1499.0,209.0,459.0
YBX1,5,"(4, 5]",0.002216454959265295,YBX1,409.997196366491,17834.0,382.0,170.6655586315954,194.0,1483.0,277.0,496.0
FOXK2,5,"(4, 5]",0.005425046095090485,FOXK2,366.3388123554337,48853.0,318.0,155.74608671467772,208.0,1485.0,257.0,423.0
AFF4,5,"(4, 5]",0.009782265908729762,AFF4,297.238023745268,108569.0,243.0,177.07492602983956,103.0,1498.0,176.0,354.0
NEUROD1,5,"(4, 5]",0.016355306230045243,NEUROD1,294.9650774386477,182919.0,255.0,155.02692851744743,115.0,1496.0,192.0,347.0
ARNTL,5,"(4, 5]",0.012550956867549264,ARNTL,317.7116734831685,130321.0,266.0,163.66578859222315,147.0,1496.0,218.0,364.0
ONECUT2,5,"(4, 5]",0.009289441920261772,ONECUT2,276.1188629094022,110985.0,234.0,156.2634979669876,115.0,1499.0,185.0,302.0
BMI1,5,"(4, 5]",0.0031660874263098196,BMI1,319.5937700804749,32681.0,286.0,166.29559413732318,122.0,1497.0,224.0,372.0
PDX1,5,"(4, 5]",0.010216205938986924,PDX1,243.5212361628949,138396.0,222.0,95.50097209070748,115.0,1446.0,184.0,289.0
MBD2,5,"(4, 5]",0.0031586789232819507,MBD2,248.98934289127837,41850.0,211.0,130.86964321485664,106.0,1491.0,156.0,300.0
PHF8,5,"(4, 5]",0.009315297413950891,PHF8,367.262793699357,83674.0,273.0,249.3805097317747,128.0,1498.0,181.0,482.0
TCF4,5,"(4, 5]",0.005905032517959856,TCF4,216.8102371757059,89849.0,182.0,127.1919538466073,92.0,1422.0,128.0,262.0
ZNF24,5,"(4, 5]",0.013750362588476903,ZNF24,365.4863107515792,124112.0,323.0,160.54195336412735,157.0,1497.0,255.0,428.0
CTCFL,5,"(4, 5]",0.007274440042348725,CTCFL,259.69048469304937,92409.0,210.0,152.56820541274178,84.0,1497.0,163.0,306.0
RXR,5,"(4, 5]",0.007081336380284514,RXR,265.25759640277965,88068.0,231.0,125.25913494897513,112.0,1392.0,198.0,318.0
TLE3,5,"(4, 5]",0.00845711994610907,TLE3,289.03698523698523,96525.0,271.0,95.41525183455943,163.0,1408.0,218.0,339.0
MLLT1,5,"(4, 5]",0.019461980432747893,MLLT1,471.27267789244974,136234.0,386.0,258.65887877970454,191.0,1499.0,279.0,585.0
ZFP36,5,"(4, 5]",0.005859731219473773,ZFP36,199.4545698425473,96918.0,175.0,96.76166028671209,96.0,1494.0,132.0,238.0
SP2,5,"(4, 5]",0.00525774548518414,SP2,352.74531736185963,49171.0,289.0,199.89067571381202,113.0,1497.0,211.0,445.0
CDX2,5,"(4, 5]",0.011392578308745472,CDX2,236.13861784275903,159157.0,224.0,103.95440313387208,102.0,1490.0,156.0,286.0
EBF1,5,"(4, 5]",0.00977204011326568,EBF1,282.8237631927568,113983.0,252.0,133.23111311742343,115.0,1490.0,188.0,338.0
HNF1B,5,"(4, 5]",0.011705079818523517,HNF1B,447.81311175024354,86228.0,397.0,219.4213911988809,165.0,1499.0,287.0,563.0
MTA2,5,"(4, 5]",0.022251450363153086,MTA2,400.0369379335902,183497.0,349.0,191.98289457978672,180.0,1498.0,259.0,487.0
RXRA,5,"(4, 5]",0.005094019993310146,RXRA,233.45082240497888,71984.0,202.0,114.79770762348818,117.0,1482.0,154.0,276.0
YY1AP1,5,"(4, 5]",0.011968866480200223,YY1AP1,375.6182385509618,105118.0,355.0,134.27777141452628,145.0,1451.0,277.0,450.0
SOX4,5,"(4, 5]",0.004325359916186817,SOX4,289.2380759329455,49333.0,260.0,115.2615724774118,152.0,1488.0,210.0,335.0
NFIC,5,"(4, 5]",0.016298373824309598,NFIC,309.4034964552067,173776.0,271.0,159.04459777298172,122.0,1499.0,200.0,371.0
GFI1B,5,"(4, 5]",0.005769864319590342,GFI1B,229.76045338226064,82844.0,202.0,116.7050014002328,111.0,1484.0,147.0,276.0
KLF10,4,"(3, 4]",0.004019833130065411,KLF10,366.11567874989646,36221.0,307.0,212.8676175942802,122.0,1499.0,222.0,449.0
ARID3A,4,"(3, 4]",0.0066024512295714535,ARID3A,247.43718901233726,88026.0,215.0,121.77870428370765,122.0,1452.0,160.0,296.0
ZBTB40,4,"(3, 4]",0.011809793734356294,ZBTB40,463.5383471349705,84048.0,383.0,246.33455939498543,189.0,1499.0,288.0,558.0
POU2F1,4,"(3, 4]",0.015389230160085424,POU2F1,391.8713489564036,129552.0,331.0,196.73382069865718,153.0,1499.0,253.0,465.0
RUNX2,4,"(3, 4]",0.009898290220019814,RUNX2,391.32808024639576,83443.0,334.0,199.27814045737637,148.0,1499.0,252.0,470.0
MITF,4,"(3, 4]",0.010871281600109533,MITF,289.414705004156,123917.0,278.0,79.95676900761764,110.0,1445.0,226.0,336.0
TRIM24,4,"(3, 4]",0.013653356365217351,TRIM24,362.76465234655006,124161.0,306.0,179.78221602535282,167.0,1499.0,242.0,423.0
GTF3C2,4,"(3, 4]",0.003859151975176233,GTF3C2,287.9796190734709,44208.0,247.0,128.05519346201805,100.0,1474.0,204.0,343.0
SETDB1,4,"(3, 4]",0.010714573876386038,SETDB1,428.27035246507455,82533.0,391.0,196.2979725120073,128.0,1499.0,300.0,531.0
TFAP2C,4,"(3, 4]",0.016912656339852443,TFAP2C,346.6395327886676,160955.0,279.0,207.33342993288971,141.0,1499.0,216.0,408.0
LYL1,4,"(3, 4]",0.0017082422611118392,LYL1,242.88169123351435,23202.0,227.0,78.33207063552743,139.0,1141.0,186.0,280.0
PKNOX1,4,"(3, 4]",0.01661356167426084,PKNOX1,374.8798136773417,146198.0,325.0,169.90670269347936,196.0,1499.0,260.0,429.0
BCOR,4,"(3, 4]",0.02064465184886156,BCOR,354.90891325419244,191894.0,287.0,217.51083138503245,126.0,1499.0,206.0,428.0
NFYA,4,"(3, 4]",0.0036945725654205087,NFYA,286.95366577200167,42474.0,253.0,123.22886038196184,138.0,1436.0,198.0,340.0
KDM5A,4,"(3, 4]",0.0015771344922864451,KDM5A,385.79475011122645,13486.0,346.0,170.83454340744908,95.0,1493.0,256.0,486.0
ZNF18,4,"(3, 4]",0.0036889698092231232,ZNF18,316.957598645657,38395.0,282.0,150.77753325797715,137.0,1495.0,226.0,373.0
SS18,4,"(3, 4]",0.022033142028021722,SS18,448.080621397528,162215.0,370.0,245.33593654487362,163.0,1499.0,276.0,546.0
MAF,4,"(3, 4]",0.008963900657016058,MAF,362.07170143990595,81672.0,288.0,219.97987838814998,126.0,1499.0,201.0,446.0
ZNF207,4,"(3, 4]",0.0047998266405441395,ZNF207,460.8861916404704,34356.0,386.0,229.08737766372212,205.0,1499.0,297.0,552.0
NFE2,4,"(3, 4]",0.007186538032670966,NFE2,190.59214567087386,124390.0,170.0,97.54622340901,60.0,1391.0,118.0,240.0
CTNNB1,4,"(3, 4]",0.003734288689263036,CTNNB1,275.21312720611235,44762.0,225.0,168.5747384204193,113.0,1470.0,171.0,333.0
SMARCE1,4,"(3, 4]",0.011312763207569248,SMARCE1,367.4439379319851,101566.0,304.0,208.21867961986672,135.0,1499.0,219.0,445.0
NCOR2,4,"(3, 4]",0.00371523998507845,NCOR2,158.69804480124304,77230.0,143.0,80.0008803642974,94.0,1293.0,100.0,189.0
NKX2-1,4,"(3, 4]",0.008248604233331031,NKX2-1,218.77297358138637,124382.0,185.0,155.7734861346613,51.0,1491.0,98.0,285.0
KLF1,4,"(3, 4]",0.007279258600619225,KLF1,276.133043558254,86964.0,243.0,187.62851925687704,59.0,1499.0,142.0,360.0
RARA,4,"(3, 4]",0.005257863705977138,RARA,359.87447611934107,48198.0,300.0,181.24496912731541,167.0,1493.0,229.0,429.0
NCOA1,4,"(3, 4]",0.005046580414121994,NCOA1,258.3924414092814,64430.0,220.0,168.32323042159663,99.0,1492.0,131.0,324.0
ZMYM3,4,"(3, 4]",0.006934734109320432,ZMYM3,264.6676538982149,86437.0,248.0,93.20278967852099,136.0,1452.0,202.0,304.0
ATRX,4,"(3, 4]",0.008191193791209339,ATRX,429.7054623519122,62885.0,362.0,227.1292855806777,91.0,1499.0,259.0,534.0
NFYB,4,"(3, 4]",0.005098187427828442,NFYB,308.1547876433728,54578.0,254.0,170.18311959870542,142.0,1494.0,190.0,368.0
ZNF398,4,"(3, 4]",0.004316184466998987,ZNF398,381.6019349824458,37313.0,318.0,212.99701981419872,154.0,1495.0,240.0,457.0
TCF7,4,"(3, 4]",0.004836910684526152,TCF7,289.1201848160899,55190.0,272.0,136.719686570374,111.0,1476.0,184.0,351.0
LMO2,4,"(3, 4]",0.008277344314369299,LMO2,223.17764319340918,122352.0,200.0,75.9226808461787,143.0,1286.0,160.0,262.0
SIX5,4,"(3, 4]",0.0017914024044694283,SIX5,248.97535389282103,23736.0,203.0,144.75529114907192,109.0,1495.0,149.0,302.0
MLLT3,4,"(3, 4]",0.002787931241314792,MLLT3,339.9549050048052,27054.0,259.0,214.2517630017646,150.0,1499.0,201.0,376.0
PAX8,4,"(3, 4]",0.0005634645498471004,PAX8,223.57709886937695,8314.0,228.0,179.9283379407825,51.0,1497.0,64.0,315.75
CBX5,4,"(3, 4]",0.0021457613500944542,CBX5,236.2551899072158,29962.0,190.0,132.96989452994737,98.0,1463.0,129.0,312.0
XBP1,4,"(3, 4]",0.005838232616701985,XBP1,341.5830022701476,56384.0,310.0,132.848597788486,113.0,1479.0,245.0,403.0
HDAC3,4,"(3, 4]",0.007951713324573003,HDAC3,293.1015553420188,89498.0,249.0,147.8304048468858,113.0,1486.0,195.0,342.0
TERT,4,"(3, 4]",3.682547388860952e-05,TERT,316.3645833333333,384.0,307.0,103.76473387258514,157.0,900.0,266.0,344.25
ZKSCAN1,4,"(3, 4]",0.005803230471197689,ZKSCAN1,247.50926979365983,77348.0,211.0,139.68874992095778,117.0,1476.0,152.0,293.0
JMJD1C,4,"(3, 4]",0.010543138873157389,JMJD1C,262.8265449544335,132334.0,226.0,130.0949695370236,132.0,1490.0,173.0,307.0
LDB1,4,"(3, 4]",0.009432852229814909,LDB1,280.05606854221793,111114.0,235.0,157.73075721423265,108.0,1485.0,173.0,350.0
ONECUT1,4,"(3, 4]",0.010003914435958675,ONECUT1,271.1017883400557,121733.0,254.0,115.52393295919104,105.0,1434.0,185.0,329.0
ATF7,4,"(3, 4]",0.018382155043937635,ATF7,423.37685014521895,143232.0,352.0,213.9808511934507,204.0,1499.0,279.0,493.0
NCOR1,4,"(3, 4]",0.007868488008214146,NCOR1,208.771936879695,124334.0,162.0,137.8291203758089,93.0,1498.0,101.0,273.0
E2F6,4,"(3, 4]",0.008313426816043452,E2F6,257.1592637392519,106647.0,195.0,176.16534552012962,92.0,1499.0,141.0,306.0
ZNF263,4,"(3, 4]",0.01171411491841094,ZNF263,300.55714996811173,128574.0,252.0,162.9398046647091,115.0,1499.0,220.0,350.0
CUX1,4,"(3, 4]",0.004461429320755262,CUX1,285.56749257843575,51539.0,258.0,154.9468551494354,124.0,1491.0,166.0,352.0
KLF6,4,"(3, 4]",0.014045986109707946,KLF6,440.0424786324786,105300.0,362.0,284.15855974400705,115.0,1499.0,211.0,593.0
MEF2A,4,"(3, 4]",0.007018107050105417,MEF2A,277.50351192616563,83430.0,231.0,153.9273461112214,117.0,1497.0,172.0,329.0
UBTF,4,"(3, 4]",0.002922867241921649,UBTF,225.86746310611383,42690.0,181.0,140.06918742519034,103.0,1491.0,135.0,264.0
ZNF384,4,"(3, 4]",0.005888161198278101,ZNF384,232.1480764404288,83673.0,208.0,109.8141230282587,104.0,1482.0,152.0,278.0
NCOA2,4,"(3, 4]",0.004301831250208088,NCOA2,189.1021906563974,75046.0,165.0,79.80761474179626,118.0,1477.0,133.0,219.0
SREBF2,4,"(3, 4]",0.0032416865921295964,SREBF2,458.8140981637206,23308.0,385.0,214.8163710258338,150.0,1498.0,304.0,545.0
ASH2L,4,"(3, 4]",0.02081181241259774,ASH2L,466.6277381688676,147133.0,382.0,270.6339757196383,150.0,1499.0,268.0,598.0
AFF1,4,"(3, 4]",0.006001532210590947,AFF1,415.97039667198925,47596.0,346.0,217.58945688336956,168.0,1499.0,265.0,484.0
CBX1,4,"(3, 4]",0.008744136387349388,CBX1,269.1398221666558,107179.0,215.0,166.23929804287326,113.0,1499.0,151.0,333.0
RB1,4,"(3, 4]",0.00755483611918116,RB1,360.6764109985528,69100.0,296.0,210.2295692684872,110.0,1499.0,219.0,443.0
CTBP1,4,"(3, 4]",0.01397315331044432,CTBP1,427.93805991626203,107717.0,362.0,214.61214885436166,51.0,1499.0,276.0,504.0
SMAD2,4,"(3, 4]",0.0016579429512540913,SMAD2,299.8578947368421,18240.0,278.0,139.9363404456892,116.0,1419.0,191.0,369.0
POU2F2,4,"(3, 4]",0.0030677068105491078,POU2F2,205.7808210821692,49179.0,166.0,115.89481124268423,119.0,1471.0,130.0,236.0
HES1,4,"(3, 4]",0.0015376251032665448,HES1,343.22281615806213,14779.0,300.0,144.34540087388953,187.0,1460.0,251.0,386.0
TFAP4,4,"(3, 4]",0.0071524577062218155,TFAP4,293.03323356639885,80521.0,268.0,127.62246240151532,123.0,1481.0,202.0,353.0
EHF,4,"(3, 4]",0.0065739563808960965,EHF,451.8010874773442,48001.0,402.0,204.49867658410298,108.0,1498.0,307.0,539.0
SSRP1,3,"(2, 3]",0.0038971469255248067,SSRP1,330.18324472866425,38937.0,264.0,229.6220013364586,114.0,1499.0,173.0,394.0
HNF4G,3,"(2, 3]",0.005014213379780598,HNF4G,241.724496207859,68431.0,217.0,102.661105728305,117.0,1266.0,170.0,286.0
HMBOX1,3,"(2, 3]",0.0045415860497102275,HMBOX1,330.68384576334785,45307.0,268.0,197.79402148456396,146.0,1497.0,195.0,396.0
SIX2,3,"(2, 3]",0.005719987573285001,SIX2,282.90882921782935,66699.0,248.0,123.7578370359205,150.0,1340.0,198.0,326.0
NUTM1,3,"(2, 3]",0.014250701175556222,NUTM1,518.2134944168256,90719.0,413.0,304.72869214730997,193.0,1499.0,283.0,664.0
RUVBL2,3,"(2, 3]",0.007398325733242901,RUVBL2,494.43754304930917,49362.0,427.0,225.28910683947552,238.0,1498.0,321.0,607.0
SMARCC2,3,"(2, 3]",0.0027083604631107623,SMARCC2,371.5337242182302,24048.0,331.0,150.76146704758753,171.0,1498.0,265.0,437.0
RBBP5,3,"(2, 3]",0.00850401025330514,RBBP5,381.6816369845308,73501.0,262.0,287.86501622945485,129.0,1499.0,172.0,499.0
ATF1,3,"(2, 3]",0.008124331141992108,ATF1,521.0742490522018,51435.0,462.0,252.6752790848964,96.0,1499.0,353.0,637.0
ZNF217,3,"(2, 3]",0.011778243939137775,ZNF217,370.12184225566773,104980.0,320.0,189.08309942617467,142.0,1497.0,241.0,447.0
BCL11B,3,"(2, 3]",0.0051860776154269,BCL11B,281.32823573906893,60813.0,231.0,194.0114847392314,82.0,1498.0,140.0,356.0
CREM,3,"(2, 3]",0.00864429801827194,CREM,252.4792955988207,112947.0,204.0,160.12177073438298,93.0,1481.0,142.0,308.0
HNRNPK,3,"(2, 3]",0.006695308509257256,HNRNPK,290.65591977997394,75991.0,241.0,142.66909676472292,171.0,1498.0,199.0,327.0
LEF1,3,"(2, 3]",0.002422232496599359,LEF1,357.4312041510109,22356.0,314.0,152.70022780011521,201.0,1487.0,248.0,420.0
ZSCAN29,3,"(2, 3]",0.0017446897315930938,ZSCAN29,365.4335238095238,15750.0,322.0,159.24611105830633,147.0,1486.0,254.0,424.0
HDGF,3,"(2, 3]",0.012588543198336398,HDGF,436.4712862337881,95146.0,365.0,216.26538740447194,209.0,1499.0,282.0,516.0
TBX5,3,"(2, 3]",0.007697200023151147,TBX5,344.5371234735414,73700.0,286.0,193.318065866323,152.0,1499.0,213.0,402.0
SATB1,3,"(2, 3]",0.007978407882762169,SATB1,379.99633287133287,69264.0,361.0,109.96967864183178,98.0,1494.0,318.0,419.0
NCAPH2,3,"(2, 3]",0.018009960218212086,NCAPH2,412.46615617450226,144044.0,341.0,228.74923971914524,150.0,1499.0,255.0,491.0
ZNF264,3,"(2, 3]",0.0017196442019011297,ZNF264,213.91233031674207,26520.0,183.0,90.79086906790236,123.0,1472.0,151.0,247.0
KAT2B,3,"(2, 3]",0.0004240837505537606,KAT2B,237.40285083997964,5893.0,219.0,95.60488781624092,123.0,1125.0,174.0,274.0
GTF2B,3,"(2, 3]",0.002669842613100852,GTF2B,295.38773183083475,29817.0,256.0,151.2339987513746,140.0,1445.0,177.0,372.0
E4F1,3,"(2, 3]",0.0075462732962052505,E4F1,426.1296131461828,58420.0,361.0,209.85181255101693,217.0,1499.0,273.0,511.0
JMJD6,3,"(2, 3]",0.000617957363423651,JMJD6,153.57744462859725,13274.0,138.0,77.80050141587843,98.0,1485.0,116.0,165.0
SMARCA5,3,"(2, 3]",0.009089415672941937,SMARCA5,347.41664252858914,86309.0,299.0,171.80812046674384,159.0,1492.0,238.0,405.0
ZMYND11,3,"(2, 3]",0.0015550138662653445,ZMYND11,239.88094458732758,21385.0,173.0,181.37993502799566,51.0,1498.0,118.0,279.0
BATF3,3,"(2, 3]",0.0016344109508427387,BATF3,264.5103021978022,20384.0,249.0,91.91253364888436,135.0,1285.0,202.0,306.0
ZEB2,3,"(2, 3]",0.014238866667916655,ZEB2,454.4183362516809,103369.0,385.0,224.83665068745137,211.0,1499.0,291.0,543.0
ZNF165,3,"(2, 3]",0.0003464384556244046,ZNF165,328.3165756966389,3481.0,279.0,162.08798087499528,130.0,1499.0,228.0,369.0
NR2F1,3,"(2, 3]",0.01127374428327517,NR2F1,451.1291969917516,82440.0,390.0,216.7375098624046,201.0,1499.0,293.0,541.0
NFATC3,3,"(2, 3]",0.01052498015935291,NFATC3,394.31019249332803,88055.0,333.0,195.11551502586792,206.0,1499.0,255.0,468.0
ZNF324,3,"(2, 3]",0.0035665715784090517,ZNF324,335.3801379624879,35082.0,289.0,170.8073425546336,157.0,1499.0,229.0,397.0
NONO,3,"(2, 3]",0.004645183840005008,NONO,342.9427311789455,44684.0,274.0,202.12712646607415,139.0,1499.0,197.0,427.0
ZNF8,3,"(2, 3]",0.0006527818746082113,ZNF8,274.78244226106926,7837.0,240.0,147.7333162456955,144.0,1499.0,179.0,309.0
TBX2,3,"(2, 3]",0.008159122915110915,TBX2,359.14163531075707,74946.0,297.0,203.68387162846435,141.0,1496.0,216.0,436.0
MTA1,3,"(2, 3]",0.010936289092267413,MTA1,383.83147860501737,93994.0,312.0,218.89286068692,169.0,1499.0,230.0,463.0
CEBPZ,3,"(2, 3]",0.00019917839204287345,CEBPZ,221.90881458966567,2961.0,190.0,102.24404988294366,120.0,1051.0,155.0,248.0
ZNF114,3,"(2, 3]",0.0001175708817666568,ZNF114,307.57811260904043,1261.0,273.0,120.51209369565825,172.0,1490.0,233.0,344.0
MYNN,3,"(2, 3]",0.00859808308524715,MYNN,300.86469515040943,94276.0,229.0,208.73591628616347,113.0,1499.0,165.0,353.0
MNT,3,"(2, 3]",0.010548599764403177,MNT,383.754995588884,90680.0,336.0,165.7045299348732,196.0,1497.0,272.0,437.25
PCGF2,3,"(2, 3]",0.0016815213305919278,PCGF2,438.7212116418855,12644.0,347.0,266.7267590356973,174.0,1498.0,242.0,552.0
ETV4,3,"(2, 3]",0.004813400812622207,ETV4,383.78213897280966,41375.0,329.0,216.0640715023397,132.0,1499.0,226.0,478.0
CHD7,3,"(2, 3]",0.009500642760692055,CHD7,316.56769860108074,99005.0,281.0,147.56449869977448,132.0,1498.0,213.0,378.0
SIRT6,3,"(2, 3]",0.005967540398171426,SIRT6,307.95111611682074,63927.0,222.0,217.31162264335043,123.0,1499.0,165.0,354.0
ZNF257,3,"(2, 3]",0.0025249809159659862,ZNF257,224.90792742196783,37036.0,190.0,124.84261219295458,123.0,1497.0,126.0,270.0
BAP1,3,"(2, 3]",0.004004631451737073,BAP1,487.72204378484145,27087.0,433.0,193.7381565854438,247.0,1495.0,340.0,582.0
FOXO1,3,"(2, 3]",0.007786006270330222,FOXO1,365.33652888800384,70306.0,294.0,216.04129664620274,163.0,1498.0,214.0,440.0
ZZZ3,3,"(2, 3]",0.0018042002600068094,ZZZ3,467.18194662480374,12740.0,381.0,244.6144626953619,155.0,1495.0,297.0,546.0
STAT2,3,"(2, 3]",0.0005935908454658286,STAT2,214.90386303775242,9112.0,187.0,92.97082519240956,134.0,1424.0,167.0,238.0
MORC2,3,"(2, 3]",0.004237652819252385,MORC2,335.7666386453705,41635.0,270.0,192.817976540507,148.0,1497.0,209.0,393.0
ESRRG,3,"(2, 3]",0.006014736563778098,ESRRG,380.2477291019892,52182.0,339.0,170.61421291118498,158.0,1498.0,255.0,457.0
TERF1,3,"(2, 3]",0.002443024805915545,TERF1,199.08413615928066,40482.0,167.0,82.56553606777743,135.0,1105.0,138.0,230.0
ZNF311,3,"(2, 3]",0.001588088103453059,ZNF311,437.6744360902256,11970.0,349.0,246.67752128066937,212.0,1499.0,265.0,516.0
ETV6,3,"(2, 3]",0.004667781896151677,ETV6,286.59759161718995,53729.0,230.0,182.98711642504378,112.0,1498.0,172.0,328.0
SMC1A-B,3,"(2, 3]",0.0028439585001584075,SMC1A-B,228.53309136969284,41053.0,212.0,87.31484332203684,127.0,1433.0,176.0,255.0
