,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
SP140L,1,"(0, 1]",0.004188036764952117,SP140L,296.09869267038147,46660.0,229.0,196.51839691431618,123.0,1499.0,162.0,357.0
ZNF563,1,"(0, 1]",0.00026002693732913456,ZNF563,211.54278668310727,4055.0,203.0,53.209280301836564,152.0,885.0,170.0,245.0
ZSCAN23,1,"(0, 1]",0.0009200130051844953,ZSCAN23,360.2851377018044,8424.0,311.0,152.1917686775228,222.0,1493.0,254.0,416.25
FOXS1,1,"(0, 1]",0.0001116713610658228,FOXS1,274.3067758749069,1343.0,227.0,138.99777954551595,161.0,1246.0,190.0,300.0
ZBTB5,1,"(0, 1]",0.000900970666734917,ZBTB5,333.5079667863555,8912.0,284.0,152.44176932501415,206.0,1469.0,237.0,373.0
RFX2,1,"(0, 1]",0.00010471300644206139,RFX2,395.6918671248568,873.0,372.0,101.61418596478102,298.0,1338.0,317.0,448.0
ATOH8,1,"(0, 1]",0.0005637434296664801,ATOH8,328.40190711636944,5663.0,256.0,210.66698307250437,153.0,1488.0,193.0,380.0
ZNF449,1,"(0, 1]",0.0030823737671368096,ZNF449,355.15629911634244,28631.0,310.0,193.79550416588566,123.0,1497.0,235.0,427.0
FOXF2,1,"(0, 1]",0.00036070043021352896,FOXF2,316.8892143808256,3755.0,266.0,169.3336779538945,182.0,1472.0,218.0,341.0
SOX10,1,"(0, 1]",0.0004366215203465463,SOX10,343.1100524059076,4198.0,322.0,95.55005493854166,235.0,936.0,269.25,392.0
ZNF16,1,"(0, 1]",0.00015717575681167096,ZNF16,342.02440633245385,1516.0,329.0,90.24321408153709,229.0,1158.0,272.0,392.25
ZNF572,1,"(0, 1]",0.00423057745635658,ZNF572,295.6405405977927,47207.0,247.0,143.61328359979535,172.0,1487.0,199.0,338.0
NUFIP1,1,"(0, 1]",2.712288121610439e-05,NUFIP1,285.86581469648564,313.0,254.0,98.37657183146662,203.0,951.0,220.0,322.0
ZNF142,1,"(0, 1]",0.0027730623999882784,ZNF142,354.0693191934048,25837.0,268.0,236.7400633521177,135.0,1497.0,186.0,441.0
HOXB5,1,"(0, 1]",0.0007982504384804666,HOXB5,359.99425837320575,7315.0,282.0,221.4595516723411,175.0,1497.0,219.0,409.0
FANCL,1,"(0, 1]",0.0004197026092173535,FANCL,247.0667380442541,5604.0,215.0,87.5310434617993,175.0,852.0,176.0,284.0
GLI2,1,"(0, 1]",0.00026236861842120847,GLI2,302.8449965010497,2858.0,272.0,106.16392633880047,204.0,1468.0,230.0,338.75
ZXDC,1,"(0, 1]",0.001680748045353626,ZXDC,256.42325301762014,21623.0,220.0,126.55192058464571,139.0,1430.0,169.0,301.0
ZNF362,1,"(0, 1]",0.0079109868676457,ZNF362,381.8683971788944,68342.0,338.0,146.82748214168643,246.0,1491.0,283.0,427.75
ZNF605,1,"(0, 1]",0.0006243143076543154,ZNF605,320.00590428837785,6436.0,268.0,92.38292978110343,257.0,1095.0,257.0,359.0
FEZF1,1,"(0, 1]",0.005260263284944756,FEZF1,293.83724198655534,59057.0,258.0,142.40144079154925,141.0,1494.0,200.0,348.0
ZNF843,1,"(0, 1]",0.003969500172751194,ZNF843,427.0908320015655,30661.0,367.0,199.92408164718015,225.0,1499.0,283.0,507.0
